session_id,src_ip,dst_ip,src_port,dst_port,start_time,end_time,duration,packet_count,total_bytes,avg_packet_size,syn_count,ack_count,fin_count,rst_count,psh_count,handshake_complete,proper_close,ttl_values,ttl_mean,ttl_std,ttl_min,ttl_max,window_mean,window_std,window_min,window_max,mss,window_scale,sack_permitted,has_timestamps
202.189.151.5:80-192.168.1.1:1109,202.189.151.5,192.168.1.1,80,1109,1160011517.571723,1160011517.577211,0.005487918853759766,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
202.189.151.5:80-192.168.1.1:1110,202.189.151.5,192.168.1.1,80,1110,1160011517.577301,1160011517.589468,0.012166976928710938,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
202.189.151.5:80-192.168.1.1:1123,202.189.151.5,192.168.1.1,80,1123,1160011520.783165,1160011520.788025,0.00485992431640625,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
202.189.151.5:80-192.168.1.1:1124,202.189.151.5,192.168.1.1,80,1124,1160011520.786584,1160011520.793501,0.006916999816894531,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
202.189.151.5:80-192.168.1.1:1127,202.189.151.5,192.168.1.1,80,1127,1160011520.795667,1160011520.801824,0.0061571598052978516,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
203.140.25.50:80-192.168.1.1:1105,203.140.25.50,192.168.1.1,80,1105,1160011517.005934,1160011517.011938,0.0060040950775146484,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
203.140.25.50:80-192.168.1.1:1106,203.140.25.50,192.168.1.1,80,1106,1160011517.006326,1160011517.011981,0.005655050277709961,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
203.140.25.50:80-192.168.1.1:1107,203.140.25.50,192.168.1.1,80,1107,1160011517.015544,1160011517.021855,0.006311178207397461,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
203.140.25.50:80-192.168.1.1:1125,203.140.25.50,192.168.1.1,80,1125,1160011520.790182,1160011520.796203,0.006020784378051758,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
203.140.25.50:80-192.168.1.1:1126,203.140.25.50,192.168.1.1,80,1126,1160011520.793589,1160011520.798914,0.005324840545654297,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
203.140.25.50:80-192.168.1.1:1128,203.140.25.50,192.168.1.1,80,1128,1160011520.797761,1160011520.804434,0.006673097610473633,5,1677,335.4,1,5,1,0,1,True,True,"[64, 64, 64, 64, 64]",64.0,0.0,64,64,5840.0,0.0,5840.0,5840.0,1460.0,,True,False
