frame_number,timestamp,packet_length,src_ip,dst_ip,protocol,ttl,ip_len,src_port,dst_port,tcp_seq,tcp_ack,tcp_flags,tcp_window,tcp_dataofs,tcp_options_raw,tcp_mss,tcp_window_scale,tcp_sack_permitted,tcp_timestamps
88,1160011517.011894,60,192.168.1.1,203.140.25.50,6,128,40,1105,80,1263924101.0,3396276285.0,A,64136.0,5.0,[],,,False,
89,1160011517.011914,60,192.168.1.1,203.140.25.50,6,128,40,1105,80,1263924101.0,3396276285.0,FA,64136.0,5.0,[],,,False,
90,1160011517.011938,54,203.140.25.50,192.168.1.1,6,64,40,80,1105,3396276285.0,1263924102.0,A,5840.0,5.0,[],,,False,
91,1160011517.011959,60,192.168.1.1,203.140.25.50,6,128,40,1106,80,795913408.0,3411693236.0,FA,64136.0,5.0,[],,,False,
92,1160011517.011981,54,203.140.25.50,192.168.1.1,6,64,40,80,1106,3411693236.0,795913409.0,A,5840.0,5.0,[],,,False,
93,1160011517.015466,62,192.168.1.1,203.140.25.50,6,128,48,1107,80,2230791539.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
94,1160011517.015544,62,203.140.25.50,192.168.1.1,6,64,48,80,1107,3410965717.0,2230791540.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
95,1160011517.015558,75,192.168.1.1,192.168.1.254,17,128,61,1025,53,,,,,,,,,,
96,1160011517.016787,60,192.168.1.1,203.140.25.50,6,128,40,1107,80,2230791540.0,3410965718.0,A,65535.0,5.0,[],,,False,
97,1160011517.016888,139,192.168.1.1,203.140.25.50,6,128,125,1107,80,2230791540.0,3410965718.0,PA,65535.0,5.0,[],,,False,
98,1160011517.016936,54,203.140.25.50,192.168.1.1,6,64,40,80,1107,3410965718.0,2230791625.0,A,5840.0,5.0,[],,,False,
99,1160011517.020306,1453,203.140.25.50,192.168.1.1,6,64,1439,80,1107,3410965718.0,2230791625.0,PA,5840.0,5.0,[],,,False,
100,1160011517.020506,54,203.140.25.50,192.168.1.1,6,64,40,80,1107,3410967117.0,2230791625.0,FA,5840.0,5.0,[],,,False,
101,1160011517.021781,60,192.168.1.1,203.140.25.50,6,128,40,1107,80,2230791625.0,3410967118.0,A,64136.0,5.0,[],,,False,
102,1160011517.021828,60,192.168.1.1,203.140.25.50,6,128,40,1107,80,2230791625.0,3410967118.0,FA,64136.0,5.0,[],,,False,
103,1160011517.021855,54,203.140.25.50,192.168.1.1,6,64,40,80,1107,3410967118.0,2230791626.0,A,5840.0,5.0,[],,,False,
104,1160011517.57036,138,192.168.1.254,192.168.1.1,17,64,124,53,1025,,,,,,,,,,
105,1160011517.571625,62,192.168.1.1,202.189.151.5,6,128,48,1109,80,2371544805.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
106,1160011517.571723,62,202.189.151.5,192.168.1.1,6,64,48,80,1109,3399076383.0,2371544806.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
107,1160011517.571738,62,192.168.1.1,202.189.151.5,6,128,48,1108,80,1107646497.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
108,1160011517.57177,62,202.189.151.5,192.168.1.1,6,64,48,80,1108,3411461927.0,1107646498.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
109,1160011517.572079,60,192.168.1.1,202.189.151.5,6,128,40,1109,80,2371544806.0,3399076384.0,A,65535.0,5.0,[],,,False,
110,1160011517.572134,60,192.168.1.1,202.189.151.5,6,128,40,1108,80,1107646498.0,3411461928.0,A,65535.0,5.0,[],,,False,
111,1160011517.572158,130,192.168.1.1,202.189.151.5,6,128,116,1109,80,2371544806.0,3399076384.0,PA,65535.0,5.0,[],,,False,
112,1160011517.57219,54,202.189.151.5,192.168.1.1,6,64,40,80,1109,3399076384.0,2371544882.0,A,5840.0,5.0,[],,,False,
113,1160011517.573294,130,192.168.1.1,202.189.151.5,6,128,116,1108,80,1107646498.0,3411461928.0,PA,65535.0,5.0,[],,,False,
114,1160011517.573385,54,202.189.151.5,192.168.1.1,6,64,40,80,1108,3411461928.0,1107646574.0,A,5840.0,5.0,[],,,False,
115,1160011517.575683,1453,202.189.151.5,192.168.1.1,6,64,1439,80,1109,3399076384.0,2371544882.0,PA,5840.0,5.0,[],,,False,
116,1160011517.575852,54,202.189.151.5,192.168.1.1,6,64,40,80,1109,3399077783.0,2371544882.0,FA,5840.0,5.0,[],,,False,
117,1160011517.576073,60,192.168.1.1,202.189.151.5,6,128,40,1109,80,2371544882.0,3399077784.0,A,64136.0,5.0,[],,,False,
118,1160011517.577122,60,192.168.1.1,202.189.151.5,6,128,40,1109,80,2371544882.0,3399077784.0,FA,64136.0,5.0,[],,,False,
119,1160011517.577211,54,202.189.151.5,192.168.1.1,6,64,40,80,1109,3399077784.0,2371544883.0,A,5840.0,5.0,[],,,False,
120,1160011517.577238,62,192.168.1.1,202.189.151.5,6,128,48,1110,80,1016258627.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
121,1160011517.577301,62,202.189.151.5,192.168.1.1,6,64,48,80,1110,3410096842.0,1016258628.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
122,1160011517.578512,60,192.168.1.1,202.189.151.5,6,128,40,1110,80,1016258628.0,3410096843.0,A,65535.0,5.0,[],,,False,
123,1160011517.578614,130,192.168.1.1,202.189.151.5,6,128,116,1110,80,1016258628.0,3410096843.0,PA,65535.0,5.0,[],,,False,
124,1160011517.57867,54,202.189.151.5,192.168.1.1,6,64,40,80,1110,3410096843.0,1016258704.0,A,5840.0,5.0,[],,,False,
125,1160011517.578683,77,192.168.1.1,192.168.1.254,17,128,63,1025,53,,,,,,,,,,
126,1160011517.581464,1453,202.189.151.5,192.168.1.1,6,64,1439,80,1108,3411461928.0,1107646574.0,PA,5840.0,5.0,[],,,False,
127,1160011517.581781,54,202.189.151.5,192.168.1.1,6,64,40,80,1108,3411463327.0,1107646574.0,FA,5840.0,5.0,[],,,False,
128,1160011517.582374,1453,202.189.151.5,192.168.1.1,6,64,1439,80,1110,3410096843.0,1016258704.0,PA,5840.0,5.0,[],,,False,
129,1160011517.583007,60,192.168.1.1,202.189.151.5,6,128,40,1108,80,1107646574.0,3411463328.0,A,64136.0,5.0,[],,,False,
130,1160011517.583061,60,192.168.1.1,202.189.151.5,6,128,40,1108,80,1107646574.0,3411463328.0,FA,64136.0,5.0,[],,,False,
131,1160011517.583088,54,202.189.151.5,192.168.1.1,6,64,40,80,1108,3411463328.0,1107646575.0,A,5840.0,5.0,[],,,False,
132,1160011517.589157,54,202.189.151.5,192.168.1.1,6,64,40,80,1110,3410098242.0,1016258704.0,FA,5840.0,5.0,[],,,False,
133,1160011517.589411,60,192.168.1.1,202.189.151.5,6,128,40,1110,80,1016258704.0,3410098243.0,A,64136.0,5.0,[],,,False,
134,1160011517.589446,60,192.168.1.1,202.189.151.5,6,128,40,1110,80,1016258704.0,3410098243.0,FA,64136.0,5.0,[],,,False,
135,1160011517.589468,54,202.189.151.5,192.168.1.1,6,64,40,80,1110,3410098243.0,1016258705.0,A,5840.0,5.0,[],,,False,
136,1160011517.717002,109,84.244.1.30,192.168.1.1,6,64,95,5050,1101,3395161391.0,3112056465.0,PA,5840.0,5.0,[],,,False,
137,1160011517.856075,60,192.168.1.1,84.244.1.30,6,128,40,1101,5050,3112056465.0,3395161446.0,A,65411.0,5.0,[],,,False,
138,1160011518.589285,77,192.168.1.1,192.168.1.254,17,128,63,1025,53,,,,,,,,,,
139,1160011518.716329,112,192.168.1.1,84.244.1.30,6,128,98,1101,5050,3112056465.0,3395161446.0,PA,65411.0,5.0,[],,,False,
140,1160011518.716422,54,84.244.1.30,192.168.1.1,6,64,40,5050,1101,3395161446.0,3112056523.0,A,5840.0,5.0,[],,,False,
141,1160011519.319279,159,192.168.1.254,192.168.1.1,17,64,145,53,1025,,,,,,,,,,
142,1160011519.319501,159,192.168.1.254,192.168.1.1,17,64,145,53,1025,,,,,,,,,,
143,1160011519.320642,62,192.168.1.1,210.153.70.38,6,128,48,1111,80,913938028.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
144,1160011519.320736,62,210.153.70.38,192.168.1.1,6,64,48,80,1111,3407063829.0,913938029.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
145,1160011519.320758,62,192.168.1.1,210.153.70.38,6,128,48,1112,80,112665259.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
146,1160011519.320796,62,210.153.70.38,192.168.1.1,6,64,48,80,1112,3410862546.0,112665260.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
147,1160011519.321104,60,192.168.1.1,210.153.70.38,6,128,40,1111,80,913938029.0,3407063830.0,A,65535.0,5.0,[],,,False,
148,1160011519.321158,60,192.168.1.1,210.153.70.38,6,128,40,1112,80,112665260.0,3410862547.0,A,65535.0,5.0,[],,,False,
149,1160011519.321186,134,192.168.1.1,210.153.70.38,6,128,120,1111,80,913938029.0,3407063830.0,PA,65535.0,5.0,[],,,False,
150,1160011519.321224,54,210.153.70.38,192.168.1.1,6,64,40,80,1111,3407063830.0,913938109.0,A,5840.0,5.0,[],,,False,
151,1160011519.321244,134,192.168.1.1,210.153.70.38,6,128,120,1112,80,112665260.0,3410862547.0,PA,65535.0,5.0,[],,,False,
152,1160011519.321271,54,210.153.70.38,192.168.1.1,6,64,40,80,1112,3410862547.0,112665340.0,A,5840.0,5.0,[],,,False,
153,1160011519.325311,1453,210.153.70.38,192.168.1.1,6,64,1439,80,1111,3407063830.0,913938109.0,PA,5840.0,5.0,[],,,False,
154,1160011519.325343,1453,210.153.70.38,192.168.1.1,6,64,1439,80,1112,3410862547.0,112665340.0,PA,5840.0,5.0,[],,,False,
155,1160011519.325578,54,210.153.70.38,192.168.1.1,6,64,40,80,1112,3410863946.0,112665340.0,FA,5840.0,5.0,[],,,False,
156,1160011519.325757,54,210.153.70.38,192.168.1.1,6,64,40,80,1111,3407065229.0,913938109.0,FA,5840.0,5.0,[],,,False,
157,1160011519.326055,60,192.168.1.1,210.153.70.38,6,128,40,1112,80,112665340.0,3410863947.0,A,64136.0,5.0,[],,,False,
158,1160011519.326116,60,192.168.1.1,210.153.70.38,6,128,40,1111,80,913938109.0,3407065230.0,A,64136.0,5.0,[],,,False,
159,1160011519.326136,60,192.168.1.1,210.153.70.38,6,128,40,1111,80,913938109.0,3407065230.0,FA,64136.0,5.0,[],,,False,
160,1160011519.326161,54,210.153.70.38,192.168.1.1,6,64,40,80,1111,3407065230.0,913938110.0,A,5840.0,5.0,[],,,False,
161,1160011519.327581,60,192.168.1.1,210.153.70.38,6,128,40,1112,80,112665340.0,3410863947.0,FA,64136.0,5.0,[],,,False,
162,1160011519.327614,54,210.153.70.38,192.168.1.1,6,64,40,80,1112,3410863947.0,112665341.0,A,5840.0,5.0,[],,,False,
163,1160011519.327632,62,192.168.1.1,210.153.70.38,6,128,48,1113,80,1585347882.0,0.0,S,65535.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
164,1160011519.327717,62,210.153.70.38,192.168.1.1,6,64,48,80,1113,3414040307.0,1585347883.0,SA,5840.0,7.0,"[('MSS', 1460), ('NOP', None), ('NOP', None), ('SAckOK', b'')]",1460.0,,True,
165,1160011519.328847,60,192.168.1.1,210.153.70.38,6,128,40,1113,80,1585347883.0,3414040308.0,A,65535.0,5.0,[],,,False,
166,1160011519.328892,134,192.168.1.1,210.153.70.38,6,128,120,1113,80,1585347883.0,3414040308.0,PA,65535.0,5.0,[],,,False,
167,1160011519.328923,54,210.153.70.38,192.168.1.1,6,64,40,80,1113,3414040308.0,1585347963.0,A,5840.0,5.0,[],,,False,
168,1160011519.328933,76,192.168.1.1,192.168.1.254,17,128,62,1025,53,,,,,,,,,,
169,1160011519.332688,1453,210.153.70.38,192.168.1.1,6,64,1439,80,1113,3414040308.0,1585347963.0,PA,5840.0,5.0,[],,,False,
170,1160011519.332918,54,210.153.70.38,192.168.1.1,6,64,40,80,1113,3414041707.0,1585347963.0,FA,5840.0,5.0,[],,,False,
171,1160011519.334185,60,192.168.1.1,210.153.70.38,6,128,40,1113,80,1585347963.0,3414041708.0,A,64136.0,5.0,[],,,False,
